ZAT,ses_cat,ses_cat_r,clus,injury,death,damage,total,walk_pubt,pop_density,pcta_Collector,pcta_Local,pcta_other,MEANIPM
3,5,5,1,1,0,0,1,4060.68763088,45761.58739507876,0,81.68677640593658,18.31322359406341,NA
4,4,4,1,2,0,0,2,17225.44212988,0,0,7.617748880813633,0,NA
7,2,2,1,16,1,0,17,10426.993224865997,770986.1295981668,3.7570732446866235,15.374583309505773,1.5813362252043839,2.782
9,4,4,2,12,1,0,13,90743.96454189303,3070369.5056593562,14.753278797378805,22.40047535019763,0.18454623425701602,8.101
10,5,5,1,17,2,0,19,31890.191497360007,718925.6756549448,1.0518377210880587,23.91732926525984,9.386596806667969,0.635
11,3,3,2,52,4,0,56,109439.460656836,3388921.9324678094,21.368012465697177,34.91684574721843,8.701113870724608,10.427
12,3,3,2,21,2,0,23,42956.23044058,4193621.9290537825,30.261423868317937,43.57503637690742,2.371674945395001,5.06
13,2,2,2,56,0,0,56,57320.94407908799,5943606.957635224,32.848501132108474,48.515686909260964,5.356359307168495,6.115
14,3,3,1,11,0,0,11,21352.466020679996,3451197.6319943513,20.356687112432283,36.63177226852034,2.771302462233941,5.378
15,3,3,2,9,0,0,9,4199.33635958,2351388.961254663,20.27293541942311,27.779986112739035,1.0124146934496914,5.27
16,3,3,2,3,0,0,3,20821.43958447999,2501783.927563634,26.042356257245654,45.95268141048634,0.8707692348713105,3.16
17,4,4,1,2,1,0,3,18057.67254993201,1130141.992005245,6.234670132134144,34.09774421147216,0,0.459
18,3,3,1,3,0,0,3,1792.318661924,21510.921655880356,28.700347401318055,2.544245212997537,7.861376570795098,NA
20,2,2,1,5,2,0,7,8391.800783008,1205666.2354792298,0,20.423484880317076,5.145549228240767,2.751
21,4,4,1,1,0,0,1,13511.394393883998,28995.267356787263,0,27.966690657464856,0,0
22,4,4,1,1,0,0,1,2614.844750354,0,0,48.813067276717476,0,NA
23,3,3,2,6,0,0,6,48220.67514588001,5476947.057589767,4.867389601605502,55.382159026619874,9.070312066499064,1.635
24,2,2,2,11,0,0,11,21466.696807617,7236990.8949238565,11.753760948947809,44.61243365048715,13.31976950416808,2.886
25,3,3,1,3,0,0,3,46765.962753452,2081466.7857073534,15.516240873119369,21.70215663057987,18.068791199393267,7.052
26,3,3,2,15,1,0,16,15730.188295552001,1312950.8147576642,19.16882754504092,5.285715397251249,0.5312445152063691,1.139
27,4,4,2,23,0,0,23,85182.63357351196,1489765.600649264,17.26685270776665,36.49518996335596,0.8196644375181025,1.418
28,5,5,1,5,0,0,5,22059.519525036,247460.7073061145,15.797787929061984,39.1516923854061,0,3.715
29,4,4,1,3,0,0,3,8404.98054656,6368.89076136386,13.369326260945849,7.033631137081377,3.204208202179893,13.892
30,5,5,1,4,0,0,4,14800.315921579995,415011.11292722856,8.32042775665859,8.498335886141149,4.70861570905932,3.132
31,3,3,1,2,0,0,2,1986.3972908,134720.11202454532,66.72827156045165,2.2886337650331505,30.983094674515193,3.889
32,3,3,1,13,1,0,14,9392.829291959999,2434420.597805349,22.23456875577815,32.896233033066295,5.459142891721549,1.548
33,2,2,2,33,1,0,34,138335.143949516,3787256.725615084,30.893037065725697,54.61047065949197,3.3946630280338823,3.946
36,3,3,1,20,0,0,20,154126.82087495993,2524935.2598382044,18.634140128425187,67.92825772798643,13.43760214358839,1.672
37,2,2,2,40,2,0,42,179264.6035537119,5366150.520036175,30.95056791910308,61.962573387615336,7.0868586932815845,5.343
38,3,3,1,6,0,0,6,20736.42379016,3325895.7737126374,48.2661204513892,27.855286210965463,23.878593337645338,0.518
39,3,3,2,19,0,0,19,28911.875781560004,4461607.57907882,37.00910280197666,41.167085797722244,9.78104305100071,4.149
40,3,3,2,35,2,0,37,116825.43891989403,4308303.213565873,24.36080247745419,35.55879180431199,5.97333216777203,1.336
41,3,3,2,49,4,0,53,115288.251614242,3030659.660829016,18.81653966005934,40.18323414635881,1.8396329326075165,2.208
42,3,3,3,10,1,0,11,8275.32655146,639190.396640901,37.610797767033624,59.05681848914727,3.3323837438191033,0.572
43,3,3,3,1,0,0,1,2218.4222973200003,416164.2426581685,44.994929491497686,52.26735687285499,2.7377136356473244,0
44,4,4,3,9,1,0,10,20531.62795576,997206.9063101053,20.050147904314667,16.972287067600476,3.0803477773492087,0.471
45,4,4,3,6,1,0,7,24999.224101453998,3069630.707240789,17.54156244542685,15.488626621720913,3.695150371601361,2.114
46,3,3,2,23,4,0,27,73935.26845974002,3291908.9822244598,24.445680846181634,20.260677717854104,4.706242155529577,1.45
47,3,3,2,23,0,0,23,63700.51364543998,3923220.546386831,22.59369707207501,46.29931558824509,1.8555903919758818,2.517
48,3,3,2,2,0,0,2,29031.703979956998,6327463.518905556,16.83925202692789,65.7616786489781,5.773110248043912,1.421
49,3,3,2,8,0,0,8,22088.50195603001,2946335.0654519014,16.80619122768069,29.96618876044328,0.3024167538604373,2.723
50,4,4,1,1,0,0,1,37061.19416918,1156586.9272168255,22.97976891344748,19.29316175339729,0.18065150599195132,0.469
51,4,4,2,5,0,0,5,31435.216627758,1739584.8955691755,12.21076769944612,32.713048736190544,1.4760897982082053,1.448
52,3,3,2,25,3,0,28,66102.29320346398,1399398.74208683,25.021885886503803,25.956027767437327,2.1008191233477853,3.649
53,3,3,2,24,1,0,25,34528.32045155001,1467806.3983419922,24.036427868446406,37.53315789959098,0,7.829
54,4,4,2,24,4,0,28,54388.078009985984,3675223.4928397303,14.667078001833952,37.11600953606089,7.895152155552842,3.067
55,3,3,2,21,1,0,22,71811.67376029996,1819162.2110923869,12.951468967012653,28.36868915689391,0,1.944
56,3,3,2,32,1,0,33,54714.458273854994,2880047.346110215,30.800285416965856,31.141495498936976,8.55666500626102,4.604
57,2,2,2,10,0,0,10,13222.68462024,1334206.8485448041,26.455338343294642,22.352212100277143,7.921322861693552,2.953
58,1,1,2,22,0,0,22,29808.633248318994,2335934.178738467,28.39398300927225,51.04212650647716,2.177657851473633,10.152
59,3,3,2,18,0,0,18,37682.191043719984,4576059.826411146,24.17344741874525,29.795108615018734,10.6833871500571,4.216
60,3,3,2,9,0,0,9,30158.022095884007,3794917.5494294134,44.925110859670035,24.309150096016616,2.665479650181098,3.943
61,4,4,2,8,0,0,8,32846.30501137997,2202580.3164830073,35.74815016658684,28.961046415312776,0.7083437053779464,1.618
62,4,4,2,8,1,1,10,25112.744456584,881787.2860154551,18.233545193714924,37.8207981171101,0,1.188
63,4,4,2,11,1,0,12,19686.783631640003,567856.5076746012,15.743283675578338,15.341296400959864,0,10.178
64,4,4,2,6,0,0,6,40503.628386874,3663705.3427134613,25.14790987276318,31.515948241860748,0,0.616
65,4,4,2,2,0,0,2,18158.63901994,1780129.768465271,27.68592604528853,11.167447986171956,0,0.807
66,4,4,2,5,0,0,5,33080.35031210001,3507938.6199967414,15.894494537798112,59.65595677095771,2.567039653417185,1.066
67,4,4,2,17,0,0,17,44217.1306516,2233510.4025401063,13.897808014565891,41.77743512515805,1.144490124406056,1.419
68,3,3,2,7,1,0,8,23640.338590108004,1805319.5228699038,12.828900232179963,35.001865606799605,0,2.488
69,4,4,2,26,1,0,27,53222.254004858,1758067.494452466,21.88188178129407,16.835780360506007,0.5804509445214119,2.31
70,4,4,2,4,0,0,4,28243.918041391997,2995552.941986145,12.216005171705072,34.42530508352179,0.8198740433946069,1.355
71,5,5,2,17,0,0,17,30592.895597119998,1428345.822409782,18.36433365583595,26.745349892803937,1.880512089847684,1.589
72,4,4,2,10,0,0,10,71446.82415314803,3128601.8210040955,18.562766752664505,45.503771083337476,0,0.98
73,4,4,2,4,0,0,4,48259.4889213,3319938.3960943148,12.189203394822297,40.700935540844306,0,1.12
74,4,4,2,2,0,0,2,14986.78470408,3323426.585989267,33.050615686713186,32.544527042702995,0,1.059
75,4,4,2,14,0,0,14,45260.978347878,3286571.8768428313,39.70207361383616,24.5464896701528,0,1.15
76,5,5,2,7,0,0,7,14832.617074918002,1602348.8800528331,18.33776188400647,29.9471228191834,2.291439225134156,1.042
77,4,4,2,5,1,0,6,61521.372803889986,2461698.0634756177,38.02087714739273,23.98077996611257,0.16889989037056458,1.449
78,4,4,2,3,0,0,3,4953.70072526,2881108.3507931903,23.725939797646802,3.987257377367964,1.1414440265378947,1.81
79,4,4,2,4,1,0,5,8191.038702919999,3701309.602870862,37.81260218380026,18.71186543007368,0,0.944
81,4,4,2,2,0,0,2,6271.949466690001,2264164.3369451026,33.376362743076776,15.785194613339282,0,1.093
82,5,5,2,7,0,0,7,24681.51734843,2934851.4372985214,29.17466779069744,11.5103698877653,0.5697993425941773,1.069
83,5,5,2,8,1,0,9,17028.7287752,765563.8885678517,0,33.495125544093334,2.1906609132257797,2.967
85,5,5,2,3,0,0,3,7213.839416917999,838727.0918615883,0,46.503404499122865,0,1.254
86,5,5,2,6,0,0,6,54114.33432911198,1734566.4815704757,13.61803061773493,30.560291579321635,0,6.514
87,6,6,2,18,0,0,18,48408.278817096,733244.8976279658,12.77717921673103,24.046649672644392,0.6508608977099644,0.566
88,5,5,2,14,2,0,16,43738.790493490014,1370433.58267501,11.477320955342572,14.69312824497079,0.07044638322090076,1.979
89,3,3,2,41,0,0,41,49603.805119979996,1609129.2837880359,14.501004018456323,39.57244139966989,0.8923856887319723,2.204
90,3,3,2,9,0,0,9,16153.8714224,2779914.178695167,29.344292425251506,49.60738201350705,3.193011132870463,1.056
91,4,4,2,5,0,0,5,22487.119135680005,2775663.164891779,12.578360872725987,53.02545811783247,1.762715113519306,1.749
92,4,4,2,9,1,0,10,8300.478795192,1257559.0334881367,13.42213839642888,46.355465895671955,1.5480247267108118,3.776
93,4,4,2,15,0,0,15,42613.463819768,1678273.2052310803,12.19012736799878,49.82648696889543,1.551416204704458,0.923
