ZAT,pop_total_2018,pop60plus_2018,n_manzanas,pct60plus
1,48,6,1,12.5
3,261,40,8,15.32567049808429
7,1798,158,11,8.78754171301446
8,64,2,1,3.125
9,18380,3194,26,17.377584330794342
10,2434,591,18,24.281018898931798
11,26840,3308,101,12.324888226527571
12,16284,1527,39,9.377302873986736
13,25106,2124,167,8.46012905281606
14,6240,620,25,9.935897435897436
15,1872,219,6,11.698717948717949
16,4269,442,13,10.353712813305224
17,3267,605,6,18.51851851851852
18,30,6,1,20
19,15,2,1,13.333333333333334
20,2088,169,13,8.093869731800766
21,85,8,1,9.411764705882353
23,11848,1241,21,10.474341661039839
24,9345,743,39,7.950775815944355
25,12322,1459,17,11.840610290537251
26,2047,339,9,16.560820713238886
27,22795,4272,126,18.740951963149815
28,2092,371,16,17.734225621414915
29,14,1,1,7.142857142857143
30,4064,533,10,13.115157480314961
31,261,48,6,18.39080459770115
32,5931,640,18,10.790760411397741
33,41449,3988,144,9.621462520205554
34,73,10,3,13.698630136986301
35,881,66,11,7.491486946651532
36,44417,4101,47,9.232951347457055
37,49997,3701,191,7.402444146648799
38,16151,1834,38,11.355334035044269
39,16236,1777,63,10.944813993594481
40,22506,2499,34,11.103705678485737
41,22075,2716,45,12.303510758776897
42,4842,506,18,10.450227178851714
43,1429,182,8,12.736179146256124
44,6421,918,16,14.296838498676218
45,14128,2051,14,14.517270668176671
46,27090,4199,53,15.500184569952012
47,22273,3044,46,13.666771427288646
48,15962,1933,18,12.110011276782359
49,7525,1274,25,16.930232558139537
50,7867,841,4,10.690224990466506
51,8454,2094,48,24.76933995741661
52,9921,1594,47,16.066928737022476
53,6474,1113,38,17.191844300278035
54,21988,3149,43,14.32144806257959
55,10244,1528,13,14.91604841858649
56,14425,1927,81,13.358752166377815
57,6397,570,39,8.910426762544944
58,16173,1495,84,9.243801397390714
59,16733,2242,76,13.39867328034423
60,12158,2043,45,16.803750616877775
61,10311,1974,17,19.144602851323828
62,2898,810,22,27.950310559006212
63,2426,743,22,30.626545754328113
64,11047,2426,18,21.960713315832354
65,4069,931,4,22.880314573605308
66,19932,3351,17,16.81216134858519
67,19654,3520,72,17.909840236084257
68,5807,975,47,16.790080936800415
69,11008,2661,42,24.173328488372093
70,8913,1844,20,20.688881409177604
71,5553,1428,33,25.715829281469475
72,17281,3792,33,21.94317458480412
73,13850,3242,16,23.407942238267147
74,5243,1263,4,24.089261872973488
75,12342,2644,12,21.42278398962891
76,7058,1555,35,22.031737035987533
77,10758,2831,43,26.31530024168061
78,3188,723,3,22.67879548306148
79,5324,1386,8,26.03305785123967
80,1075,330,7,30.697674418604652
81,1691,506,4,29.923122412773505
82,5746,1321,10,22.98990602158023
83,4834,892,31,18.452627223831197
84,242,60,3,24.793388429752067
85,2869,685,15,23.875914952945276
86,7324,1597,34,21.805024576734024
87,14122,4049,38,28.671576263985273
88,9633,2295,21,23.824353783867952
89,14733,2704,117,18.353356410778524
90,7922,1374,25,17.344105023983843
91,11298,2226,32,19.702602230483272
92,6112,1561,44,25.539921465968586
93,14430,3199,50,22.16909216909217
94,20328,4067,94,20.006887052341597
95,3137,717,26,22.856232068855594
96,2051,678,35,33.057045343734764
97,2959,557,23,18.823927002365664
98,603,78,6,12.935323383084578
99,10474,1233,33,11.772006874164598
100,16333,1622,69,9.930814914590094
101,19868,1540,102,7.751157640426817
102,2014,205,1,10.178748758689176
103,28579,2936,120,10.273277581440919
104,14693,1442,59,9.81419723677942
105,34641,3818,156,11.021621777662308
106,21325,2909,126,13.64126611957796
107,24518,3314,113,13.516600048943634
108,18965,2437,67,12.849986817822304
109,14146,1803,54,12.74565248126679
110,17216,2430,78,14.114776951672862
111,6926,834,38,12.041582442968524
112,30798,3282,176,10.656536138710306
113,26609,2827,88,10.624224886316659
114,33218,3244,122,9.76578963212716
115,45205,4142,193,9.162703240791949
116,17965,1137,91,6.328973003061509
117,29719,1617,113,5.440963693260204
118,14167,959,86,6.769252488176749
120,21097,3583,15,16.9834573636062
121,14400,2557,73,17.756944444444443
122,27243,4574,145,16.78963403443086
123,8454,1554,82,18.38183108587651
124,11555,1782,80,15.421895283427087
125,13212,2004,57,15.16802906448683
126,3531,344,11,9.742282639478901
127,4967,530,8,10.67042480370445
128,3208,804,41,25.06234413965087
129,11815,2163,66,18.307236563690225
130,5857,1528,61,26.088441181492232
131,10701,1917,65,17.91421362489487
132,1432,341,9,23.812849162011172
133,3558,1116,56,31.365935919055648
134,6099,1704,66,27.9390063944909
135,15556,2215,35,14.238878889174595
136,9082,2197,60,24.1907068927549
137,3893,963,17,24.736706909838173
138,9462,2299,62,24.29718875502008
139,10554,2402,16,22.759143452719346
140,10128,2294,46,22.650078988941548
141,5620,1609,24,28.629893238434164
142,4068,826,13,20.30481809242871
143,3855,941,43,24.409857328145264
144,6713,1296,28,19.305824519588857
145,5212,1193,24,22.889485801995395
146,6430,1509,26,23.468118195956453
147,19359,5977,84,30.87452864300842
148,10223,2587,50,25.305683263229973
149,1707,302,10,17.691857059168132
150,3561,758,16,21.28615557427689
151,764,11,3,1.4397905759162304
152,4446,854,34,19.208277103013945
153,1790,290,27,16.201117318435752
154,10687,1617,45,15.130532422569477
155,3054,888,43,29.076620825147348
156,2609,662,34,25.373706400919893
158,83,0,1,0
159,4153,449,39,10.811461594028414
160,3128,304,34,9.718670076726342
161,7158,707,74,9.877060631461301
162,267,40,2,14.9812734082397
163,4178,779,27,18.64528482527525
164,3214,644,20,20.03733665214686
165,2882,515,14,17.869535045107565
166,2551,709,11,27.793022344178752
167,4715,1199,42,25.42948038176034
168,4745,1481,53,31.211801896733405
169,2303,492,32,21.363438992618324
170,2469,736,18,29.80963953017416
171,6787,1047,52,15.426550758803595
172,7289,1886,55,25.87460557003704
173,4346,775,45,17.832489645651172
174,4813,648,29,13.463536255973406
175,10173,1886,43,18.53927061830335
176,10259,1673,44,16.307632322838483
177,1585,297,3,18.738170347003155
178,4348,599,6,13.776448942042318
179,9487,1270,46,13.386739749130388
180,12474,2418,78,19.384319384319383
181,6649,1287,45,19.356294179575876
182,10546,1621,49,15.370756684999051
183,6872,1212,44,17.636786961583237
184,8452,1226,44,14.505442498816848
185,14676,2212,48,15.072226764786045
186,12522,1662,41,13.272640153330139
187,25357,4814,186,18.98489568955318
188,9631,1577,58,16.37420828574395
189,12091,1929,75,15.954015383342982
190,21194,2812,134,13.267906011135228
191,13879,2375,105,17.11218387491894
192,52362,5666,181,10.820824261869294
193,87,6,3,6.896551724137931
194,40224,3338,180,8.298528241845665
195,27534,2421,124,8.792765308346045
196,19235,1883,88,9.789446321809201
197,28265,2620,151,9.269414470192817
198,27437,3391,110,12.35922294711521
199,10648,2015,46,18.92374154770849
200,17756,2307,81,12.992791169182249
201,5628,624,16,11.087420042643924
202,9520,1619,53,17.006302521008404
203,11045,1632,48,14.775916704391127
204,20037,3768,125,18.80521036083246
205,6891,1160,33,16.83355100856189
206,6583,1000,30,15.190642564180465
207,12730,1720,59,13.511390416339356
208,4147,717,21,17.289606944779358
209,5618,876,24,15.592737629049484
210,7941,1322,33,16.647777358015365
211,4213,646,25,15.333491573700451
212,12680,2172,70,17.129337539432175
213,5478,1071,27,19.55093099671413
215,8413,1764,44,20.967550219897777
216,8536,1416,54,16.588566073102154
217,5490,965,50,17.577413479052822
218,14094,2327,62,16.51057187455655
220,1298,230,13,17.719568567026194
221,2722,503,18,18.479059515062453
222,4371,598,38,13.681079844429192
223,1834,335,30,18.266085059978188
224,1691,322,21,19.04198698994678
225,1810,384,21,21.215469613259668
226,1547,280,19,18.099547511312217
227,3268,458,34,14.01468788249694
228,1655,251,15,15.166163141993957
229,1692,300,14,17.73049645390071
230,2495,325,36,13.026052104208416
231,1851,421,29,22.744462452728254
232,734,164,12,22.3433242506812
233,1836,343,24,18.681917211328976
234,1437,318,34,22.129436325678498
235,3200,536,37,16.75
236,1630,231,13,14.171779141104295
237,1604,250,16,15.586034912718205
238,2053,369,20,17.97369702873843
239,2043,303,22,14.831130690161528
240,1350,186,18,13.777777777777779
241,1747,274,20,15.684029765311964
242,32,5,2,15.625
243,1246,371,7,29.775280898876403
244,6378,1466,23,22.985261837566636
245,4899,1364,20,27.842416819759134
246,1007,267,15,26.514399205561073
247,1327,265,14,19.9698568198945
248,6963,1590,29,22.834984920292978
249,58,2,1,3.4482758620689653
250,1870,331,14,17.700534759358288
251,7631,769,34,10.077316210195256
252,5919,995,27,16.81027200540632
253,1273,284,12,22.309505106048704
254,464,95,11,20.474137931034484
255,4240,757,26,17.85377358490566
256,1689,451,8,26.702190645352278
257,2624,611,21,23.285060975609756
258,1434,301,21,20.99023709902371
259,2737,633,31,23.127511874314944
260,2117,359,15,16.957959376476147
261,3750,823,14,21.946666666666665
262,2549,513,14,20.125539427226364
263,2681,759,11,28.310331965684448
264,3158,700,25,22.165927802406586
265,410,82,9,20
266,3017,268,29,8.882996353994034
267,1080,153,10,14.166666666666666
268,85,7,2,8.235294117647058
269,4162,346,35,8.313310908217204
270,4294,345,38,8.034466697717745
271,1098,127,8,11.56648451730419
272,6464,691,24,10.689975247524753
273,4595,618,34,13.449401523394995
274,3046,471,10,15.4629021667761
275,7372,1036,37,14.053174172544765
276,5335,682,29,12.783505154639176
277,4685,418,18,8.922091782283884
278,3055,461,33,15.090016366612112
279,5913,973,45,16.455268053441568
280,3812,479,17,12.565582371458552
281,4501,668,39,14.841146411908465
282,6279,1408,63,22.42395285873547
283,1363,298,15,21.863536316947908
284,1876,174,18,9.275053304904052
285,2373,459,24,19.342604298356513
286,2519,563,25,22.350138944025407
287,5772,951,37,16.476091476091476
288,6005,1205,34,20.06661115736886
289,4,0,1,0
290,9527,2293,52,24.068437073580352
291,2736,664,21,24.269005847953217
292,9823,2818,25,28.687773592588822
293,7538,1428,4,18.944016980631467
294,31,2,1,6.451612903225806
295,4840,1259,45,26.012396694214875
298,2398,616,28,25.68807339449541
299,1920,168,4,8.75
