term,RR,lo,hi,p,n,outcome,model
(Intercept),6.847481948612745e-4,5.673266431084883e-4,8.264728901091137e-4,0,770,injury,replication
clus1,0.6302470455761289,0.49990476333378964,0.794574022076718,9.416098262157674e-5,770,injury,replication
clus2,0.8073749588954594,0.7151841381800043,0.9114496385648028,5.426759138437978e-4,770,injury,replication
clus3,0.6668423759297464,0.5536660092675957,0.8031534298518023,1.954994636290909e-5,770,injury,replication
MEANIPM,1.0275966231417244,1.0108579379360123,1.044612482391287,0.0011590436229432322,770,injury,replication
pop_density,1.0000000745302022,1.0000000252085892,1.0000001238518175,0.003059317650072891,770,injury,replication
pcta_Collector,0.9941271847198949,0.9900440264236485,0.9982271828548023,0.0050324361886797,770,injury,replication
pcta_Local,0.9928853001196375,0.9887872001014593,0.9970003850095426,7.155450981103521e-4,770,injury,replication
pcta_other,0.9885880379952552,0.9793394479972684,0.9979239689219932,0.01669718585630349,770,injury,replication
(Intercept),9.237576351404793e-5,6.881048744520233e-5,1.2401135352512718e-4,0,770,death,replication
clus1,0.5407210522166079,0.36031502778040647,0.8114545155425094,0.0029901850958645396,770,death,replication
clus2,0.7457793863033764,0.6149600217474027,0.9044277243496922,0.0028753166954010754,770,death,replication
clus3,0.6757331458039278,0.5072455304664023,0.900185919663449,0.007393761619849794,770,death,replication
MEANIPM,1.0162789414212585,0.9934650741562454,1.0396167048484266,0.16332392577599972,770,death,replication
pop_density,0.999999986072954,0.9999999032785046,1.0000000688674104,0.7416341648048249,770,death,replication
pcta_Collector,0.9878551950623584,0.9812036169833999,0.9945518641807044,3.9291232567528094e-4,770,death,replication
pcta_Local,0.9906296213451914,0.9843746201387098,0.9969243686394862,0.003578463980943354,770,death,replication
pcta_other,0.9875117969110666,0.9736584485685634,1.001562252627907,0.08126354417121447,770,death,replication
(Intercept),7.695742929518341e-4,6.370445111260062e-4,9.29675371231902e-4,0,770,total,replication
clus1,0.6238782037246821,0.4941920331426129,0.787596697194053,7.24205984010666e-5,770,total,replication
clus2,0.8029014053902879,0.7106604664356173,0.9071148561436152,4.22476404265488e-4,770,total,replication
clus3,0.6681963820361297,0.5538566012264301,0.8061408024703474,2.5484339405436897e-5,770,total,replication
MEANIPM,1.0267215898563018,1.0099127371708703,1.0438102068403716,0.0017411160619973708,770,total,replication
pop_density,1.0000000680893695,1.00000001833288,1.000000117845861,0.007315792373484318,770,total,replication
pcta_Collector,0.993685382986751,0.989591737168649,0.9977959629964541,0.0026336520976844896,770,total,replication
pcta_Local,0.9927299870180167,0.9886037754405013,0.9968734204820002,5.957515874253399e-4,770,total,replication
pcta_other,0.9884756423807182,0.9791516051745218,0.9978884683601373,0.016525703723936927,770,total,replication
(Intercept),8.073485110631478e-4,5.612358496357948e-4,0.0011613862848192334,2.08e-322,768,injury,plus_pct60
clus1,0.6120304922104207,0.48243996515599746,0.7764309560759723,5.243530200448268e-5,768,injury,plus_pct60
clus2,0.8155767684376746,0.7208756130170583,0.9227187786688246,0.0012073100890891792,768,injury,plus_pct60
clus3,0.6506733980388785,0.5380888760799769,0.7868140185312691,9.272656677463924e-6,768,injury,plus_pct60
pct60plus,0.9918294685822475,0.9783215185784717,1.0055239265078462,0.24095403010726474,768,injury,plus_pct60
MEANIPM,1.024024440475637,1.005936461483239,1.0424376636524908,0.009030125862515151,768,injury,plus_pct60
pop_density,1.0000000629664534,1.0000000089082122,1.0000001170246973,0.022433619225804877,768,injury,plus_pct60
pcta_Collector,0.994458440449266,0.9903608584480722,0.9985729760468316,0.008343522675432657,768,injury,plus_pct60
pcta_Local,0.9926950678034707,0.9885315314162356,0.9968761403387162,6.285640873746289e-4,768,injury,plus_pct60
